Publication,Scenario,Category,Product,Flow,Unit,Year,Value
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Total final consumption,EJ,2020,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Total final consumption,EJ,2030,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Total final consumption,EJ,2040,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Total final consumption,EJ,2050,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Industry,EJ,2019,162
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Industry,EJ,2020,157
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Industry,EJ,2030,170
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Industry,EJ,2040,169
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Industry,EJ,2050,160
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Industry,EJ,2019,35
